m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
51,Armenia,,231,"Hen eggs in shell, fresh",2015,2.48,2.48%,900,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
51,Armenia,,21111.01,"Meat of cattle, fresh or chilled",2015,1.57,1.57%,1000,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
51,Armenia,,21113.01,"Meat of pig, fresh or chilled",2015,1.71,1.71%,300,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
51,Armenia,,21121,"Meat of chickens, fresh or chilled",2015,2.11,2.11%,200,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
51,Armenia,,231,"Hen eggs in shell, fresh",2014,2.57,2.57%,900,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
51,Armenia,,21111.01,"Meat of cattle, fresh or chilled",2014,1.69,1.69%,1000,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
51,Armenia,,21113.01,"Meat of pig, fresh or chilled",2014,1.85,1.85%,300,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
51,Armenia,,21121,"Meat of chickens, fresh or chilled",2014,2.27,2.27%,200,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
528,Netherlands,,231,"Hen eggs in shell, fresh",2011,0.29,0.29%,2000,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
528,Netherlands,,231,"Hen eggs in shell, fresh",2010,0.3,0.30%,2000,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
528,Netherlands,,231,"Hen eggs in shell, fresh",2009,0.31,0.31%,2000,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
528,Netherlands,,231,"Hen eggs in shell, fresh",2008,0.32,0.32%,2000,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
528,Netherlands,,231,"Hen eggs in shell, fresh",2007,0.32,0.32%,2000,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
528,Netherlands,,231,"Hen eggs in shell, fresh",2006,0.33,0.33%,2000,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
528,Netherlands,,231,"Hen eggs in shell, fresh",2005,0.16,0.16%,1000,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
528,Netherlands,,231,"Hen eggs in shell, fresh",2004,0.16,0.16%,1000,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
528,Netherlands,,231,"Hen eggs in shell, fresh",2003,0.22,0.22%,1000,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
528,Netherlands,,231,"Hen eggs in shell, fresh",2002,0.31,0.31%,2000,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
528,Netherlands,,231,"Hen eggs in shell, fresh",2001,0.3,0.30%,2000,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
528,Netherlands,,231,"Hen eggs in shell, fresh",2000,0.3,0.30%,2000,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
53,Australia and New Zealand,,2920,"Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails",2014,50,50%,,,Whole supply chain,,,,Literature Review,"lenca (2014), retail food waste management",,"Sourced from Gunders, (2012) Reference has been generated automatically"
56,Belgium,,231,"Hen eggs in shell, fresh",2017,3.33,3.33%,4606,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
578,Norway,,22290,Dairy products n.e.c.,2012,1.6,1.6,,,,,,,No Data Collection Specified,Hanssen and Moller 2013,,
591,Panama,,231,"Hen eggs in shell, fresh",2017,5.01,5.01%,1873,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
591,Panama,,21111.01,"Meat of cattle, fresh or chilled",2017,5.12,5.12%,3586,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
