m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2014,0.16,0.16,,Drying,Farm,,,4 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2014,4.44,4.44,,,Whole supply chain,,Physical Losses,,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2014,0.1,0.1,,Collection,Farm,,,4 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1802,Sugar cane,2014,1.02,1.02,,"Grading, Sorting",Farm,,,7 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1802,Sugar cane,2014,0.07,0.07,,Packaging,Farm,,,7 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1802,Sugar cane,2014,0.04,0.04,,Farm,Storage,,,7 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1802,Sugar cane,2014,0.42,0.42,,Wholesale,Storage,,,7 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1802,Sugar cane,2014,2.11,2.11,,Harvesting,Harvest,,,7 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1802,Sugar cane,2014,0.11,0.11,,Retailing,Storage,,,7 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1802,Sugar cane,2014,0.1,0.1,,Transportation,Farm,,,7 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1802,Sugar cane,2014,3.95,3.95,,Drying,Farm,,,7 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1802,Sugar cane,2014,0.04,0.04,,Processing,Storage,,,7 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1802,Sugar cane,2014,0.04,0.04,,Collection,Farm,,,7 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1802,Sugar cane,2014,7.89,7.89,,,Whole supply chain,,Physical Losses,,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1802,Sugar cane,2013,7.89,7.89%,,,Whole supply chain,,Sourced from Jha et  al. (2015,,Literature Review,"Durba Kashyap ,Tripti Agarwal  (2019), Food loss in India: water footprint, land footprint and GHG emissions",, Reference has been generated automatically
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2009,7.24,7.24%,0.3kg,Storage,Storage,Outside the Zero Energy Cool Chamber (ZECC),,,Controlled Experiment,Lisa Kitinoja (2010),,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2009,3.86,3.86%,0.16kg,Storage,Storage,Trials in Zero Energy Cool Chamber (ZECC),,,Controlled Experiment,Lisa Kitinoja (2010),,
356,India,,1372,"Cashew nuts, in shell",2006,0.13,0.13,,Storage,Storage,,,,Survey,"ICAR - S.K. Nanda, P.K. Vishwakarma",https://www.researchgate.net/publication/280780214_Harvest_and_post_harvest_losses_of_major_crops_and_livestock_produce_in_India,
